ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
79.0,457.0,7.0,106.0,14.0,0.0,0.0,100.0,83.0,7.0,8.0,14.0,1.0,7.0,0.0,0.0,0.0,30.0,86.0,12.0,1.0,1.0,100.0,1.0
69.0,193.0,4.0,68.0,29.0,1.0,1.0,87.0,54.0,6.0,4.0,30.0,4.0,50.0,24.0,10.0,10.0,60.0,67.0,2.0,6.0,1.0,89.0,1.0
60.0,314.0,12.0,90.0,27.0,3.0,1.0,76.0,2.0,2.0,4.0,34.0,0.0,44.0,0.0,0.0,0.0,2.0,87.0,3.0,2.0,0.0,50.0,1.0
74.0,222.78659459459465,3.0,92.0,26.0,0.0,0.0,100.0,83.0,7.0,8.0,28.0,3.0,32.0,24.0,2.0,2.0,52.0,60.0,8.0,4.0,4.0,75.0,1.0
78.0,84.0,2.0,25.0,11.0,1.0,0.0,92.0,20.0,6.0,5.0,13.0,1.0,15.0,2.0,4.0,4.0,2.0,77.0,1.0,1.0,0.0,20.0,1.0
52.0,180.43139604553625,4.0,42.0,22.0,4.0,2.0,92.0,38.0,6.0,5.0,26.0,2.0,24.0,24.0,4.0,4.0,75.0,74.0,13.0,1.0,6.0,82.0,0.0
63.0,158.0,1.0,34.0,9.0,1.0,1.0,91.0,18.848360655737704,6.0,6.0,11.0,3.0,55.0,0.0,2.0,2.0,81.0,94.0,3.0,3.0,1.0,86.0,0.0
89.0,441.0,75.0,194.0,12.0,0.0,0.0,100.0,83.0,7.0,8.0,13.0,0.0,25.0,9.0,0.0,0.0,5.0,66.51626155426224,2.0,1.0,0.0,43.0,1.0
66.0,244.0,11.0,128.0,30.0,0.0,0.0,93.0,4.0,4.0,6.0,10.0,1.0,43.0,2.0,1.0,1.0,23.0,74.0,8.0,4.0,2.0,100.0,0.0
85.0,199.0,7.0,82.0,31.0,0.0,0.0,100.0,83.0,7.0,8.0,34.0,1.0,38.0,0.0,2.0,2.0,6.0,49.0,3.0,2.0,1.0,36.0,1.0
63.0,177.0,6.0,116.0,28.0,0.0,0.0,87.0,2.0,4.0,6.0,29.0,2.0,50.0,0.0,9.0,9.0,52.0,40.0,3.0,9.0,0.0,72.0,0.0
71.0,266.0,2.0,62.0,21.0,0.0,0.0,91.0,5.0,4.0,6.0,22.0,3.0,23.0,24.0,0.0,0.0,17.0,97.0,2.0,2.0,0.0,33.0,1.0
63.0,285.0,9.0,61.0,15.0,0.0,0.0,88.0,44.0,6.0,6.0,16.0,1.0,63.0,0.0,4.0,4.0,91.0,70.2104219767771,4.0,2.0,2.0,100.0,0.0
82.0,306.0,17.0,71.0,7.0,0.0,0.0,100.0,83.0,7.0,8.0,21.0,0.0,43.0,5.0,0.0,0.0,39.0,66.51626155426224,2.0,1.0,0.0,75.0,1.0
76.0,212.0,10.0,86.0,28.0,0.0,0.0,100.0,83.0,7.0,8.0,28.0,1.0,50.0,0.0,0.0,0.0,55.0,78.0,1.0,2.0,0.0,75.0,0.0
75.0,146.0,2.0,58.0,18.0,0.0,0.0,100.0,83.0,7.0,8.0,20.0,3.0,55.0,0.0,6.0,6.0,47.0,98.0,2.0,4.0,1.0,75.0,0.0
89.0,353.0,40.0,140.0,19.0,0.0,0.0,100.0,83.0,7.0,8.0,19.0,0.0,11.0,0.0,0.0,0.0,7.0,66.51626155426224,3.0,1.0,0.0,36.0,1.0
71.0,311.0,10.0,114.0,40.0,0.0,0.0,100.0,83.0,7.0,8.0,40.0,1.0,23.0,0.0,2.0,2.0,28.0,75.0,12.0,4.0,4.0,59.0,0.0
79.0,210.0,10.0,94.0,44.0,0.0,0.0,98.0,19.0,6.0,6.0,45.0,1.0,27.0,0.0,1.0,1.0,8.0,48.0,3.0,3.0,0.0,38.0,1.0
65.0,150.0,1.0,50.0,23.0,0.0,0.0,92.0,3.0,4.0,6.0,26.0,2.0,46.0,10.0,0.0,0.0,33.0,100.0,2.0,3.0,1.0,50.0,0.0
86.0,172.0,14.0,126.0,20.0,0.0,0.0,100.0,83.0,7.0,8.0,21.0,0.0,43.0,24.0,0.0,0.0,30.0,66.0,1.0,2.0,0.0,75.0,1.0
87.0,266.0,15.0,137.0,24.0,0.0,0.0,100.0,83.0,7.0,8.0,3.0,0.0,40.0,21.0,0.0,0.0,4.0,66.51626155426224,4.0,2.0,0.0,46.0,1.0
81.0,162.0,13.0,66.0,17.0,0.0,0.0,100.0,83.0,7.0,8.0,17.0,0.0,12.0,0.0,1.0,1.0,3.0,66.51626155426224,2.0,1.0,0.0,43.0,1.0
70.0,72.0,5.0,22.0,10.0,0.0,0.0,100.0,83.0,7.0,8.0,8.0,2.0,40.0,24.0,1.0,0.0,64.0,73.0,6.0,2.0,1.0,100.0,0.0
80.0,270.0,18.0,128.0,32.0,0.0,0.0,100.0,83.0,7.0,8.0,32.0,0.0,38.0,0.0,0.0,0.0,25.0,31.0,3.0,6.0,1.0,77.0,1.0
84.0,319.0,10.0,95.0,32.0,0.0,0.0,100.0,83.0,7.0,8.0,35.0,2.0,23.0,0.0,0.0,0.0,19.0,89.0,5.0,1.0,0.0,50.0,1.0
86.0,304.0,103.0,167.0,9.0,0.0,0.0,100.0,83.0,7.0,8.0,9.0,0.0,22.0,3.431410433342534,0.0,0.0,27.0,20.0,1.0,1.0,0.0,67.0,1.0
80.0,305.0,16.0,154.0,17.0,0.0,0.0,100.0,83.0,7.0,8.0,18.0,0.0,12.0,24.0,2.0,2.0,25.0,66.51626155426224,2.0,1.0,0.0,44.0,1.0
71.0,308.0,10.0,113.0,32.0,1.0,1.0,100.0,83.0,6.0,8.0,32.0,1.0,34.0,0.0,1.0,1.0,23.0,66.51626155426224,5.0,5.0,2.0,59.0,1.0
60.0,67.0,15.0,53.0,5.0,1.0,1.0,50.0,14.0,6.0,2.0,6.0,0.0,50.0,0.0,2.0,2.0,44.83497092440346,70.2104219767771,1.0,1.0,1.464035646085296,100.0,0.0
65.0,280.0,2.0,69.0,31.0,0.0,0.0,100.0,83.0,7.0,8.0,33.0,4.0,6.0,0.0,5.0,5.0,34.0,70.2104219767771,10.0,1.0,5.0,55.0,0.0
83.0,347.0,7.0,137.0,24.0,0.0,0.0,100.0,83.0,7.0,8.0,28.0,1.0,21.0,4.0,2.0,2.0,4.0,66.51626155426224,3.0,2.0,0.0,56.0,1.0
60.0,62.0,1.0,36.0,4.0,0.0,0.0,50.0,6.0,4.0,6.0,6.0,1.0,17.0,24.0,2.0,2.0,86.0,70.2104219767771,2.0,1.0,1.0,75.0,0.0
63.0,221.0,9.0,67.0,26.0,0.0,0.0,96.0,15.0,6.0,6.0,26.0,1.0,27.0,0.0,0.0,0.0,30.0,70.2104219767771,5.0,1.0,3.0,50.0,0.0
86.0,101.0,14.0,56.0,12.0,0.0,0.0,100.0,83.0,7.0,8.0,12.0,0.0,42.0,0.0,0.0,0.0,0.0,66.51626155426224,3.0,1.0,0.0,83.0,1.0
66.0,180.43139604553625,4.0,17.0,4.0,0.0,0.0,100.0,83.0,7.0,8.0,5.0,2.0,80.0,4.0,4.0,4.0,97.0,196.0,1.0,2.0,1.0,75.0,0.0
72.0,171.0,3.0,68.0,21.0,0.0,0.0,96.0,49.0,6.0,6.0,24.0,4.0,33.0,0.0,4.0,4.0,36.0,22.0,4.0,2.0,1.0,67.0,0.0
82.0,241.0,2.0,93.0,21.0,0.0,0.0,100.0,83.0,7.0,8.0,22.0,1.0,32.0,1.0,1.0,1.0,12.0,98.0,3.0,2.0,1.0,56.0,1.0
77.0,275.0,5.0,105.0,30.0,1.0,0.0,90.0,34.0,6.0,5.0,31.0,2.0,52.0,0.0,0.0,0.0,40.0,97.0,3.0,5.0,2.0,53.0,1.0
74.0,222.78659459459465,2.0,65.0,35.0,0.0,0.0,100.0,83.0,7.0,8.0,0.0,2.0,28.0,0.0,1.0,1.0,19.0,66.51626155426224,4.0,3.0,1.0,70.0,1.0
80.0,104.0,10.0,93.0,36.0,0.0,0.0,97.0,36.0,6.0,6.0,6.0,1.0,23.0,8.0,0.0,0.0,18.0,66.51626155426224,3.0,3.0,0.0,46.0,1.0
86.0,372.0,14.0,119.0,23.0,0.0,0.0,96.0,49.0,6.0,6.0,7.0,0.0,26.0,3.431410433342534,0.0,0.0,8.0,66.51626155426224,2.0,1.0,0.0,50.0,1.0
79.0,161.0,8.0,83.0,17.0,0.0,0.0,100.0,83.0,7.0,8.0,19.0,2.0,42.0,0.0,1.0,1.0,13.0,66.51626155426224,5.0,1.0,1.0,86.0,1.0
69.0,284.0,8.0,109.0,22.0,1.0,1.0,100.0,83.0,6.0,8.0,22.0,1.0,26.0,2.0,3.0,2.0,40.0,21.0,3.0,2.0,2.0,55.0,1.0
62.0,323.0,1.0,104.0,14.0,7.0,7.0,100.0,83.0,0.0,8.0,24.0,2.0,18.0,0.0,1.0,1.0,4.0,100.0,3.0,1.0,0.0,36.0,1.0
80.0,192.0,5.0,66.0,52.0,0.0,0.0,100.0,83.0,7.0,8.0,52.0,4.0,8.0,4.0,1.0,1.0,3.0,66.51626155426224,4.0,1.0,1.0,16.0,1.0
55.0,152.0,9.0,43.0,31.0,0.0,0.0,97.0,12.0,6.0,6.0,43.0,3.0,32.0,1.0,12.0,12.0,92.0,70.2104219767771,7.0,1.0,7.0,82.0,0.0
70.0,308.0,4.0,77.0,41.0,1.0,1.0,95.0,2.0,0.0,2.0,42.0,3.0,29.0,0.0,2.0,2.0,6.0,78.0,4.0,7.0,1.0,48.0,1.0
68.0,220.0,9.0,69.0,27.0,0.0,0.0,100.0,83.0,7.0,8.0,27.0,3.0,44.0,0.0,2.0,2.0,95.0,59.0,4.0,4.0,2.0,100.0,0.0
73.0,59.0,6.0,23.0,13.0,0.0,0.0,100.0,83.0,7.0,8.0,13.0,4.0,8.0,9.0,0.0,0.0,46.0,66.51626155426224,3.0,1.0,1.0,63.0,1.0
69.0,196.0,23.0,69.0,20.0,3.0,3.0,100.0,83.0,6.0,8.0,31.0,0.0,30.0,24.0,1.0,1.0,35.0,66.51626155426224,1.0,2.0,0.0,50.0,1.0
77.0,79.0,9.0,47.0,12.0,1.0,1.0,92.0,12.0,6.0,3.0,13.0,1.0,62.0,24.0,0.0,0.0,4.0,49.0,1.0,2.0,0.0,50.0,1.0
78.0,167.0,0.0,66.0,33.0,0.0,0.0,100.0,83.0,7.0,8.0,56.0,3.0,29.0,24.0,0.0,0.0,0.0,76.0,2.0,4.0,0.0,43.0,1.0
64.0,262.0,3.0,80.0,15.0,2.0,0.0,83.0,11.0,4.0,2.0,18.0,1.0,44.0,0.0,0.0,0.0,71.0,52.0,8.0,3.0,4.0,92.0,0.0
80.0,116.0,2.0,62.0,24.0,0.0,0.0,100.0,83.0,7.0,8.0,26.0,1.0,23.0,0.0,1.0,1.0,23.0,81.0,3.0,2.0,1.0,83.0,1.0
65.0,56.0,3.0,21.0,7.0,0.0,0.0,86.0,38.0,6.0,6.0,7.0,3.0,43.0,0.0,3.0,3.0,23.0,98.0,3.0,1.0,1.0,80.0,1.0
80.0,115.0,2.0,36.0,6.0,0.0,0.0,100.0,83.0,7.0,8.0,13.0,4.0,14.0,0.0,5.0,5.0,4.0,95.0,3.0,1.0,0.0,67.0,0.0
79.0,206.0,9.0,50.0,21.0,0.0,0.0,90.0,14.0,6.0,6.0,21.0,2.0,29.0,0.0,1.0,1.0,13.0,70.2104219767771,4.0,1.0,0.0,63.0,0.0
86.0,168.0,1.0,68.0,32.0,0.0,0.0,100.0,83.0,7.0,8.0,47.0,5.0,30.0,4.0,2.0,2.0,5.0,66.51626155426224,3.0,2.0,0.0,36.0,1.0
83.0,154.0,4.0,57.0,13.0,0.0,0.0,93.0,27.05164066702528,6.0,6.0,14.0,1.0,43.0,0.0,0.0,0.0,4.0,80.0,1.0,4.0,1.0,45.0,1.0
56.0,113.0,26.0,70.0,7.0,6.0,4.0,50.0,4.0,0.0,2.0,13.0,0.0,58.0,0.0,1.0,1.0,0.0,70.2104219767771,0.0,1.0,1.464035646085296,50.0,0.0
89.0,243.0,47.0,157.0,4.0,0.0,0.0,100.0,83.0,7.0,8.0,4.0,0.0,25.0,9.0,0.0,0.0,1.0,66.51626155426224,1.0,2.397237827715356,0.0,50.0,1.0
79.0,177.0,2.0,68.0,18.0,0.0,0.0,100.0,83.0,7.0,8.0,19.0,2.0,37.0,4.0,1.0,1.0,13.0,98.0,2.0,3.0,0.0,56.0,1.0
70.0,262.0,14.0,60.0,17.0,0.0,0.0,88.0,4.0,4.0,6.0,17.0,0.0,24.0,24.0,0.0,0.0,1.0,77.0,2.0,3.0,0.0,71.0,1.0
57.0,131.0,10.0,52.0,15.0,1.0,0.0,81.0,8.0,4.0,5.0,16.0,1.0,63.0,0.0,0.0,0.0,98.0,64.0,3.0,5.0,2.0,89.0,0.0
55.0,113.0,9.0,52.0,23.0,1.0,0.0,79.0,11.0,4.0,5.0,24.0,2.0,25.0,0.0,7.0,6.0,48.0,70.2104219767771,3.0,2.0,2.0,45.0,0.0
63.0,27.0,5.0,16.0,8.0,0.0,0.0,100.0,83.0,7.0,8.0,8.0,3.0,100.0,0.0,0.0,0.0,44.83497092440346,89.0,4.487420127795527,4.0,1.464035646085296,100.0,0.0
61.0,141.0,33.0,80.0,17.0,2.0,0.0,86.0,2.0,4.0,5.0,21.0,0.0,71.0,24.0,1.0,1.0,51.0,45.0,2.0,3.0,0.0,100.0,0.0
66.0,68.0,5.0,58.0,27.0,1.0,1.0,93.0,28.0,6.0,6.0,5.0,3.0,30.0,24.0,2.0,2.0,24.0,18.0,5.0,3.0,0.0,60.0,0.0
70.0,132.0,1.0,41.0,21.0,0.0,0.0,100.0,83.0,7.0,8.0,23.0,9.0,22.0,24.0,3.0,3.0,50.0,99.0,3.0,1.0,1.0,50.0,0.0
74.0,148.0,9.0,89.0,17.0,1.0,1.0,95.0,50.0,6.0,2.0,19.0,1.0,47.0,0.0,2.0,1.0,12.0,66.51626155426224,1.0,1.0,0.0,40.0,1.0
84.0,170.0,1.0,66.0,19.0,0.0,0.0,100.0,83.0,7.0,8.0,22.0,2.0,15.0,0.0,10.0,10.0,0.0,96.0,1.0,2.0,0.7092896174863388,30.0,1.0
64.0,160.0,83.0,170.0,8.0,2.0,2.0,70.0,18.0,6.0,2.0,11.0,0.0,0.0,24.0,0.0,0.0,84.0,66.51626155426224,1.0,2.397237827715356,1.0,100.0,1.0
83.0,187.0,5.0,73.0,33.0,0.0,0.0,97.0,27.05164066702528,6.0,6.0,34.0,4.0,79.0,2.0,1.0,1.0,8.0,86.0,4.0,4.0,0.0,89.0,1.0
75.0,162.0,8.0,77.0,40.0,0.0,0.0,100.0,83.0,7.0,8.0,42.0,1.0,20.0,7.0,0.0,0.0,27.0,66.51626155426224,5.0,2.0,1.0,64.0,1.0
68.0,187.0,9.0,75.0,29.0,0.0,0.0,100.0,83.0,7.0,8.0,29.0,1.0,41.0,0.0,1.0,1.0,89.0,72.0,3.0,3.0,2.0,75.0,0.0
71.0,77.0,2.0,38.0,12.0,0.0,0.0,92.0,24.0,6.0,6.0,13.0,3.0,15.0,0.0,1.0,1.0,63.0,80.0,3.0,1.0,1.0,80.0,0.0
79.0,83.0,2.0,39.0,28.0,0.0,0.0,100.0,83.0,7.0,8.0,31.0,4.0,17.0,0.0,3.0,3.0,6.0,89.0,3.0,3.0,0.0,46.0,1.0
75.0,200.0,6.0,66.0,40.0,0.0,0.0,98.0,26.0,6.0,6.0,40.0,1.0,45.0,0.0,1.0,1.0,27.0,74.0,1.0,3.0,1.0,31.0,1.0
68.0,119.0,5.0,66.0,13.0,3.0,2.0,80.0,15.0,6.0,3.0,15.0,1.0,27.0,0.0,0.0,0.0,10.0,94.0,3.0,3.0,1.0,50.0,0.0
78.0,266.0,35.0,89.0,5.0,2.0,2.0,100.0,83.0,6.0,8.0,5.0,0.0,40.0,1.0,1.0,1.0,7.0,88.0,2.0,1.0,0.0,75.0,1.0
86.0,222.0,5.0,86.0,26.0,0.0,0.0,96.0,83.0,5.0,7.0,30.0,2.0,31.0,24.0,0.0,0.0,24.0,66.51626155426224,3.0,2.397237827715356,0.0,60.0,1.0
62.0,136.0,13.0,63.0,12.0,3.0,2.0,76.0,27.0,6.0,2.0,17.0,0.0,82.0,0.0,1.0,1.0,44.83497092440346,50.0,4.487420127795527,6.0,1.464035646085296,100.0,0.0
77.0,217.0,19.0,97.0,13.0,0.0,0.0,92.0,46.0,6.0,6.0,13.0,0.0,23.0,0.0,3.0,3.0,29.0,70.2104219767771,1.0,2.5639510341916423,0.0,20.0,0.0
73.0,136.0,6.0,77.0,25.0,0.0,0.0,100.0,83.0,7.0,8.0,25.0,4.0,36.0,0.0,3.0,3.0,54.0,100.0,11.0,1.0,1.0,100.0,0.0
61.0,165.0,2.0,65.0,24.0,0.0,0.0,93.0,24.0,6.0,6.0,27.0,6.0,26.0,24.0,3.0,3.0,68.0,99.0,14.0,3.0,3.0,85.0,1.0
72.0,169.0,5.0,60.0,21.0,1.0,1.0,96.0,30.0,6.0,3.0,23.0,1.0,52.0,0.0,4.0,4.0,66.0,82.0,4.0,3.0,1.0,78.0,0.0
70.0,153.0,22.0,112.0,5.0,2.0,2.0,67.0,56.0,6.0,4.0,6.0,0.0,67.0,0.0,0.0,0.0,0.0,70.2104219767771,0.0,1.0,0.0,50.0,0.0
70.0,82.0,0.0,48.0,17.0,0.0,0.0,95.0,71.0,6.0,6.0,19.0,2.0,16.0,0.0,7.0,7.0,20.0,70.2104219767771,5.0,2.5639510341916423,1.0,45.0,0.0
83.0,394.0,22.0,142.0,34.0,0.0,0.0,100.0,83.0,7.0,8.0,25.0,0.0,15.0,3.431410433342534,0.0,0.0,0.0,51.0,1.0,2.0,1.0,43.0,1.0
68.0,217.0,11.0,109.0,24.0,0.0,0.0,88.0,18.0,6.0,6.0,24.0,1.0,17.0,0.0,5.0,4.0,61.0,66.51626155426224,5.0,1.0,3.0,50.0,1.0
65.0,12.0,12.0,12.0,1.0,0.0,0.0,100.0,83.0,7.0,8.0,1.0,0.0,100.0,24.0,1.0,1.0,44.83497092440346,92.0,4.487420127795527,1.0,1.464035646085296,100.0,0.0
76.0,317.0,2.0,63.0,20.0,0.0,0.0,91.0,40.0,5.0,6.0,22.0,4.0,9.0,3.0,3.0,3.0,29.0,70.2104219767771,6.0,1.0,0.0,70.0,0.0
85.0,389.0,8.0,97.0,29.0,0.0,0.0,100.0,83.0,7.0,8.0,30.0,2.0,33.0,0.0,1.0,1.0,18.0,76.0,5.0,1.0,0.0,40.0,1.0
92.0,213.0,74.0,131.0,7.0,0.0,0.0,100.0,83.0,7.0,8.0,10.0,0.0,20.0,3.431410433342534,0.0,0.0,1.0,66.51626155426224,1.0,1.0,0.0,67.0,1.0
58.0,108.0,4.0,49.0,11.0,2.0,1.0,57.0,6.0,4.0,2.0,14.0,3.0,71.0,0.0,4.0,3.0,0.0,74.0,1.0,4.0,1.464035646085296,83.0,0.0
72.0,174.0,2.0,69.0,30.0,1.0,1.0,97.0,17.0,5.0,2.0,33.0,1.0,9.0,0.0,0.0,0.0,9.0,84.0,5.0,1.0,0.0,46.0,0.0
75.0,181.0,14.0,63.0,38.0,0.0,0.0,100.0,83.0,7.0,8.0,39.0,0.0,28.0,24.0,0.0,0.0,35.0,83.0,4.0,3.0,2.0,50.0,1.0
71.0,180.43139604553625,70.0,93.0,5.0,1.0,1.0,100.0,83.0,6.0,8.0,5.0,0.0,40.0,14.0,0.0,0.0,47.0,70.2104219767771,1.0,2.5639510341916423,0.0,50.0,0.0
77.0,52.0,27.0,37.0,4.0,0.0,0.0,75.0,28.0,6.0,6.0,4.0,0.0,50.0,3.431410433342534,0.0,0.0,0.0,66.51626155426224,0.0,1.0,0.0,33.0,1.0
69.0,218.0,9.0,52.0,28.0,0.0,0.0,97.0,54.0,6.0,6.0,29.0,1.0,41.0,0.0,5.0,5.0,35.0,70.2104219767771,5.0,2.0,1.0,70.0,0.0
78.0,266.0,13.0,90.0,41.0,0.0,0.0,100.0,83.0,7.0,8.0,44.0,0.0,36.0,2.0,1.0,1.0,18.0,36.0,2.0,5.0,1.0,70.0,1.0
83.0,789.0,6.0,102.0,41.0,0.0,0.0,100.0,83.0,7.0,8.0,41.0,1.0,17.0,0.0,1.0,0.0,1.0,66.51626155426224,3.0,2.397237827715356,1.0,23.0,1.0
79.0,284.0,4.0,96.0,51.0,0.0,0.0,98.0,24.0,6.0,6.0,53.0,3.0,42.0,0.0,2.0,2.0,10.0,66.51626155426224,3.0,1.0,0.0,40.0,1.0
86.0,203.0,3.0,76.0,17.0,0.0,0.0,100.0,83.0,7.0,8.0,17.0,2.0,24.0,0.0,0.0,0.0,4.0,70.0,4.0,3.0,0.0,58.0,1.0
85.0,140.0,13.0,81.0,12.0,0.0,0.0,92.0,82.0,6.0,6.0,13.0,0.0,38.0,12.0,0.0,0.0,1.0,93.0,1.0,2.0,0.0,50.0,1.0
74.0,158.0,3.0,65.0,24.0,0.0,0.0,96.0,18.848360655737704,6.0,6.0,25.0,2.0,40.0,0.0,0.0,0.0,48.0,81.0,7.0,6.0,1.0,81.0,0.0
67.0,164.0,1.0,56.0,39.0,0.0,0.0,98.0,72.0,6.0,6.0,40.0,4.0,50.0,0.0,3.0,3.0,61.0,18.0,3.0,3.0,2.0,78.0,0.0
91.0,342.0,42.0,130.0,14.0,0.0,0.0,100.0,83.0,7.0,8.0,14.0,0.0,36.0,3.431410433342534,0.0,0.0,3.0,66.51626155426224,2.0,2.0,0.0,50.0,1.0
64.0,90.0,0.0,26.0,10.0,0.0,0.0,92.0,18.848360655737704,6.0,6.0,13.0,4.0,31.0,0.0,2.0,2.0,41.0,70.2104219767771,6.0,2.5639510341916423,0.0,100.0,0.0
49.0,103.0,4.0,48.0,10.0,12.0,9.0,53.0,7.0,0.0,2.0,17.0,1.0,35.0,24.0,2.0,2.0,37.0,66.0,5.0,2.0,0.0,80.0,0.0
68.0,169.0,3.0,74.0,9.0,2.0,1.0,73.0,33.0,6.0,2.0,11.0,1.0,45.0,0.0,1.0,1.0,10.0,101.0,1.0,2.0,1.464035646085296,75.0,0.0
59.0,78.0,12.0,32.0,19.0,0.0,0.0,100.0,83.0,7.0,8.0,22.0,0.0,43.0,0.0,3.0,3.0,91.0,70.2104219767771,8.0,1.0,5.0,90.0,0.0
61.0,69.0,4.0,22.0,9.0,0.0,0.0,100.0,83.0,7.0,8.0,9.0,4.0,44.0,24.0,2.0,2.0,38.0,63.0,2.0,2.0,1.0,83.0,0.0
73.0,216.0,1.0,72.0,41.0,0.0,0.0,100.0,83.0,7.0,8.0,42.0,4.0,24.0,0.0,10.0,10.0,25.0,88.0,3.0,4.0,0.0,50.0,0.0
63.0,252.0,45.0,142.0,6.0,6.0,5.0,75.0,30.0,5.0,2.0,16.0,0.0,69.0,24.0,0.0,0.0,110.0,70.2104219767771,2.0,2.5639510341916423,1.0,100.0,0.0
56.0,127.0,2.0,53.0,40.0,0.0,0.0,95.0,9.0,4.0,6.0,41.0,6.0,41.0,0.0,11.0,11.0,40.0,98.0,7.0,4.0,3.0,85.0,0.0
68.0,178.0,3.0,85.0,21.0,0.0,0.0,100.0,83.0,7.0,8.0,22.0,3.0,43.0,2.0,7.0,7.0,66.0,3.0,3.0,3.0,1.0,100.0,0.0
61.0,270.0,6.0,81.0,44.0,0.0,0.0,98.0,1.0,4.0,6.0,46.0,3.0,50.0,5.0,0.0,0.0,50.0,85.0,6.0,5.0,3.0,73.0,0.0
66.0,164.0,5.0,66.0,19.0,1.0,0.0,95.0,19.0,6.0,5.0,21.0,1.0,19.0,0.0,0.0,0.0,65.0,70.2104219767771,3.0,1.0,1.0,33.0,0.0
84.0,308.0,10.0,125.0,27.0,0.0,0.0,100.0,83.0,7.0,8.0,27.0,1.0,37.0,24.0,0.0,0.0,27.0,52.0,2.0,5.0,0.0,70.0,1.0
63.0,276.0,12.0,47.0,26.0,4.0,3.0,83.0,9.0,1.0,3.0,64.0,0.0,40.0,24.0,3.0,3.0,15.0,83.0,1.0,6.0,1.0,64.0,0.0
