0,1,2,3,4,5,6,7,Y,E
2,1,-11,-3,-2,-1,43,11,-10,0
1,3,-11,-2,-2,-2,6,6,-11,25
1,1,-11,-3,-2,-2,12,12,-11,25
1,3,-10,-2,-2,-2,56,56,-10,7
2,1,-11,-2,-2,-2,25,25,-10,2
1,1,-10,-2,-2,-2,129,8,-10,23
2,3,-10,-2,-2,-1,46,4,-11,25
2,1,-10,-2,-2,-2,46,10,-11,25
1,2,-10,-2,-2,-2,327,5,-11,25
2,3,-10,-2,-3,-2,229,2,-11,25
3,2,-11,-2,-3,-3,46,2,-11,25
1,1,-10,-2,-2,-3,29,9,-11,25
1,3,-10,-2,-3,-2,1,1,-11,25
2,1,-11,-2,-2,-2,36,36,-10,2
1,1,-11,-2,-2,-2,246,6,-11,25
2,2,-11,-2,-2,-3,31,5,-11,25
2,3,-10,-2,-2,-2,8,6,-11,25
2,1,-11,-2,-3,-2,107,72,-10,2
1,3,-11,-2,-2,-1,20,5,-11,25
3,1,-10,-2,-2,-2,22,22,-10,12
2,2,-11,-2,-2,-2,57,7,-11,25
3,2,-10,-2,-3,-3,3,3,-11,25
2,1,-11,-2,-2,-1,19,6,-11,25
2,3,-11,-2,-2,-1,48,48,-10,8
3,2,-10,-2,-2,-2,250,0,-11,25
1,1,-10,-2,-2,-2,352,10,-11,25
2,1,-10,-2,-3,-2,257,18,-10,19
2,2,-11,-2,-2,-2,45,45,-10,5
3,2,-10,-3,-3,-2,260,16,-10,22
3,1,-11,-2,-3,-2,281,205,-10,3
2,3,-11,-1,-2,-2,33,23,-11,25
1,3,-11,-2,-2,-2,277,20,-10,7
1,2,-10,-2,-3,-2,44,5,-10,20
1,3,-10,-1,-2,-2,45,45,-10,7
2,2,-10,-2,-2,-2,38,9,-11,25
2,3,-11,-2,-2,-2,161,3,-11,25
2,3,-10,-3,-3,-2,19,2,-11,25
2,1,-11,-2,-2,-2,84,13,-11,25
1,2,-11,-2,-3,-2,5,3,-10,13
1,1,-10,-2,-2,-2,43,9,-11,25
3,2,-10,-2,-2,-2,137,9,-10,24
2,1,-11,-2,-3,-1,134,6,-11,25
3,1,-11,-2,-2,-1,17,0,-10,12
3,3,-11,-2,-2,-2,15,11,-11,25
2,1,-11,-2,-2,-2,19,6,-11,25
2,3,-10,-2,-2,-1,89,0,-11,25
2,2,-11,-2,-2,-2,31,10,-11,25
1,1,-10,-2,-2,-1,3,3,-10,10
4,2,-11,-2,-2,-1,312,4,-11,25
1,2,-11,-2,-2,-2,45,1,-11,25
1,1,-10,-2,-2,-2,59,19,-10,1
3,2,-10,-2,-2,-2,47,5,-11,25
1,1,-10,-2,-2,-3,7,7,-10,10
3,3,-10,-2,-2,-1,243,0,-11,25
1,1,-10,-1,-2,-2,83,11,-11,25
2,3,-10,-2,-2,-2,11,11,-11,25
1,1,-11,-3,-2,-1,100,4,-10,0
1,3,-10,-2,-2,-3,48,17,-11,25
1,3,-10,-3,-2,-2,4,4,-11,25
2,1,-11,-2,-2,-3,70,6,-11,25
4,1,-10,-2,-3,-2,6,4,-10,19
2,1,-10,-2,-2,-2,188,0,-11,25
4,3,-11,-2,-1,-2,163,5,-11,25
1,1,-11,-2,-2,-2,41,6,-11,25
1,2,-10,-2,-2,-2,53,3,-11,25
2,1,-10,-2,-2,-2,49,49,-10,2
1,2,-10,-2,-2,-2,18,16,-10,13
4,2,-11,-2,-2,-2,2,2,-11,25
3,1,-11,-2,-2,-1,115,18,-10,3
1,2,-10,-2,-2,-2,83,11,-11,25
1,1,-11,-2,-2,-2,23,22,-10,1
4,1,-10,-2,-2,-3,44,18,-11,25
2,1,-11,-2,-2,-2,7,5,-10,11
2,1,-11,-2,-1,-2,33,6,-11,25
2,3,-11,-1,-3,-3,17,13,-11,25
4,2,-10,-3,-3,-2,7,3,-10,22
3,3,-11,-2,-2,-2,39,2,-11,25
1,1,-10,-2,-2,-3,323,9,-11,25
3,3,-10,-2,-2,-2,259,2,-11,25
1,3,-11,-2,-2,-2,10,0,-11,25
2,3,-10,-2,-2,-2,319,5,-11,25
3,1,-11,-2,-2,-2,19,18,-10,12
1,1,-11,-2,-2,-2,41,1,-11,25
3,2,-11,-2,-3,-2,101,7,-11,25
3,1,-10,-2,-2,-2,56,56,-10,3
1,3,-10,-2,-1,-2,8,8,-11,25
1,1,-11,-2,-2,-2,22,3,-11,25
1,1,-10,-2,-2,-2,37,11,-11,25
1,3,-10,-3,-2,-1,5,5,-11,25
1,2,-11,-2,-2,-1,41,4,-11,25
2,3,-10,-2,-3,-2,8,4,-11,25
1,1,-11,-3,-2,-2,45,20,-10,1
1,3,-10,-2,-3,-3,44,0,-11,25
2,1,-11,-1,-2,-1,41,0,-11,25
3,1,-11,-3,-2,-2,54,3,-11,25
2,1,-10,-2,-3,-2,126,7,-10,19
1,2,-11,-2,-2,-2,43,10,-11,25
2,2,-11,-1,-2,-2,17,6,-10,14
1,1,-11,-2,-2,-2,13,8,-11,25
3,2,-10,-2,-2,-2,259,1,-11,25
1,2,-10,-2,-2,-1,58,5,-11,25
4,3,-11,-3,-2,-2,358,3,-11,25
1,2,-10,-2,-2,-2,39,6,-11,25
3,1,-11,-2,-2,-2,0,0,-10,12
2,1,-11,-2,-2,-1,54,8,-11,25
3,2,-10,-2,-2,-1,4,4,-11,25
2,1,-11,-2,-2,-2,227,13,-11,25
1,3,-11,-2,-2,-2,11,11,-11,25
2,3,-11,-2,-2,-2,30,11,-11,25
1,3,-11,-2,-2,-1,2,1,-11,25
2,2,-10,-3,-2,-2,151,3,-10,24
1,3,-10,-2,-2,-2,36,23,-10,7
1,1,-11,-2,-2,-2,38,2,-11,25
3,3,-11,-2,-2,-1,159,140,-10,9
2,2,-11,-2,-2,-1,5,5,-10,14
1,3,-10,-2,-1,-2,312,0,-11,25
1,2,-11,-2,-2,-1,9,6,-10,13
1,1,-11,-3,-2,-2,270,270,-10,1
3,3,-11,-2,-1,-2,29,4,-11,25
1,1,-10,-3,-2,-2,11,11,-10,10
3,2,-11,-3,-2,-2,165,5,-11,25
2,1,-11,-2,-2,-3,73,15,-10,2
1,1,-11,-3,-2,-2,358,7,-11,25
1,3,-10,-2,-2,-2,44,0,-11,25
3,3,-11,-2,-2,-2,19,13,-11,25
2,1,-10,-2,-2,-2,293,0,-11,25
2,1,-11,-2,-2,-1,15,1,-11,25
4,3,-10,-2,-3,-3,354,5,-11,25
1,3,-11,-2,-2,-2,39,39,-10,7
2,1,-10,-3,-2,-1,28,10,-10,0
3,1,-10,-2,-2,-2,46,6,-11,25
2,3,-11,-2,-2,-2,23,11,-11,25
2,2,-10,-2,-2,-2,31,7,-11,25
1,1,-10,-2,-2,-2,152,1,-10,23
1,1,-11,-2,-2,-2,35,11,-11,25
1,1,-10,-2,-2,-2,23,9,-11,25
1,3,-10,-3,-2,-1,230,8,-11,25
1,1,-11,-2,-2,-2,45,2,-11,25
3,3,-10,-2,-2,-2,3,3,-11,25
2,1,-11,-2,-3,-2,20,11,-11,25
4,1,-10,-2,-2,-1,18,7,-11,25
1,2,-11,-2,-2,-1,296,11,-11,25
2,1,-10,-2,-2,-2,216,8,-11,25
1,1,-10,-2,-2,-2,329,20,-10,1
2,3,-11,-2,-2,-2,253,20,-11,25
2,2,-10,-2,-2,-2,47,10,-11,25
2,2,-10,-2,-2,-1,3,3,-10,14
1,3,-10,-2,-2,-1,18,8,-11,25
1,1,-11,-3,-2,-1,196,16,-10,0
1,2,-11,-3,-2,-2,351,10,-11,25
3,3,-11,-2,-3,-2,86,4,-11,25
4,3,-10,-2,-2,-2,315,14,-11,25
1,1,-10,-2,-1,-2,153,153,-10,1
2,2,-10,-2,-2,-2,5,3,-10,14
3,3,-11,-2,-2,-2,56,0,-11,25
3,1,-11,-2,-2,-2,52,1,-11,25
3,3,-11,-2,-2,-3,197,2,-11,25
3,3,-11,-2,-2,-2,0,0,-11,25
1,3,-10,-2,-2,-2,118,10,-11,25
1,1,-11,-3,-1,-3,11,11,-10,10
4,3,-10,-3,-2,-3,31,3,-11,25
2,2,-11,-2,-2,-2,11,10,-10,14
3,3,-10,-2,-2,-2,278,9,-11,25
1,3,-11,-3,-2,-2,1,1,-11,25
1,1,-10,-2,-2,-2,30,5,-11,25
3,1,-11,-3,-2,-1,14,2,-10,12
1,2,-11,-2,-1,-2,79,5,-11,25
2,2,-11,-2,-2,-2,167,167,-10,5
2,1,-10,-2,-2,-1,10,0,-10,11
1,1,-11,-2,-2,-2,56,3,-11,25
1,1,-11,-3,-2,-2,279,4,-11,25
1,3,-10,-3,-3,-2,126,14,-11,25
2,1,-11,-2,-2,-2,310,6,-11,25
1,3,-10,-3,-2,-2,264,10,-11,25
3,1,-10,-2,-2,-3,38,38,-10,3
2,3,-10,-2,-2,-2,127,127,-10,8
1,2,-11,-2,-2,-2,34,11,-11,25
3,1,-11,-2,-2,-1,42,2,-11,25
1,1,-10,-2,-2,-1,35,6,-11,25
1,1,-10,-3,-2,-2,108,108,-10,1
2,3,-11,-3,-2,-2,2,2,-11,25
1,3,-10,-2,-2,-2,28,22,-10,7
1,2,-10,-2,-2,-2,49,17,-11,25
2,3,-10,-1,-1,-3,59,11,-11,25
3,1,-11,-3,-2,-1,14,14,-10,12
1,3,-11,-3,-2,-2,71,4,-11,25
3,1,-10,-2,-2,-1,330,7,-11,25
1,1,-11,-2,-2,-3,6,6,-10,10
2,3,-11,-2,-2,-2,9,8,-11,25
2,1,-10,-2,-2,-2,319,257,-10,2
2,2,-11,-2,-2,-2,287,9,-11,25
2,1,-11,-2,-2,-1,66,66,-10,2
1,1,-10,-2,-3,-1,215,9,-10,17
3,2,-11,-2,-1,-2,293,11,-11,25
2,3,-10,-2,-1,-1,259,7,-11,25
1,1,-10,-2,-2,-1,108,3,-11,25
2,3,-10,-3,-2,-2,22,9,-11,25
4,3,-11,-3,-3,-2,9,9,-11,25
1,1,-11,-2,-2,-2,55,14,-11,25
1,2,-11,-2,-2,-2,339,13,-11,25
4,2,-10,-3,-2,-3,7,7,-11,25
1,2,-10,-1,-2,-2,213,23,-10,4
2,1,-10,-2,-2,-2,51,11,-11,25
3,3,-11,-2,-2,-2,16,7,-11,25
3,3,-10,-2,-2,-2,133,10,-11,25
1,1,-10,-2,-3,-2,5,1,-10,19
1,1,-11,-2,-2,-2,158,19,-10,23
3,3,-11,-2,-2,-3,22,20,-11,25
2,1,-10,-2,-2,-2,117,117,-10,2
2,2,-11,-2,-2,-2,286,4,-11,25
3,1,-11,-2,-2,-2,0,0,-10,12
3,1,-11,-2,-2,-2,81,7,-11,25
1,2,-11,-2,-2,-2,330,2,-11,25
2,2,-10,-2,-2,-2,151,4,-10,24
2,3,-10,-2,-2,-2,6,6,-11,25
3,2,-11,-2,-2,-2,21,6,-11,25
1,2,-11,-2,-2,-2,270,0,-11,25
3,2,-10,-2,-2,-3,10,9,-11,25
1,1,-11,-2,-2,-2,0,0,-10,10
1,1,-10,-2,-2,-1,45,2,-11,25
2,3,-11,-2,-2,-2,22,22,-11,25
3,1,-11,-2,-2,-2,2,2,-10,12
1,2,-10,-3,-2,-2,1,0,-10,13
2,3,-10,-3,-2,-2,18,7,-11,25
2,1,-10,-2,-3,-3,46,46,-10,2
3,1,-10,-2,-2,-3,44,20,-10,3
3,2,-11,-2,-2,-2,104,4,-11,25
1,2,-10,-2,-2,-3,4,1,-10,13
1,1,-10,-2,-2,-2,319,23,-10,1
2,1,-10,-2,-2,-2,20,1,-11,25
1,3,-10,-2,-2,-2,73,0,-11,25
1,1,-11,-2,-2,-2,46,2,-11,25
2,2,-11,-3,-2,-2,230,14,-11,25
1,3,-11,-3,-2,-2,49,1,-11,25
2,2,-11,-2,-2,-1,31,8,-11,25
1,3,-11,-2,-3,-2,77,8,-11,25
3,1,-11,-2,-2,-3,18,2,-10,12
2,1,-10,-3,-2,-2,134,7,-10,23
1,2,-11,-1,-2,-2,27,2,-11,25
1,2,-11,-2,-2,-1,29,21,-10,4
2,2,-11,-2,-2,-1,22,22,-10,14
2,1,-10,-2,-2,-2,34,7,-11,25
2,1,-10,-2,-2,-2,208,2,-11,25
1,2,-10,-2,-3,-2,33,6,-10,20
1,1,-11,-3,-2,-2,39,39,-10,1
2,1,-11,-3,-2,-1,120,13,-10,0
1,3,-11,-2,-3,-2,49,0,-11,25
1,1,-10,-3,-2,-1,111,11,-10,0
2,1,-11,-2,-2,-2,131,96,-10,23
3,1,-11,-2,-2,-3,31,4,-11,25
3,2,-11,-2,-3,-1,168,88,-10,6
2,1,-10,-2,-3,-2,54,1,-10,19
1,1,-10,-2,-2,-1,7,7,-10,10
3,3,-10,-2,-1,-3,218,23,-11,25
1,3,-11,-3,-1,-2,21,4,-11,25
2,2,-10,-2,-2,-2,3,3,-10,14
1,3,-11,-2,-2,-1,313,10,-11,25
3,3,-10,-2,-1,-2,21,14,-11,25
4,3,-10,-3,-3,-1,10,10,-10,18
2,3,-10,-2,-2,-2,59,2,-11,25
1,2,-11,-3,-1,-3,134,21,-10,4
1,1,-10,-2,-2,-2,2,2,-10,10
2,3,-11,-2,-2,-2,52,17,-11,25
2,1,-10,-3,-2,-2,243,169,-10,2
3,1,-10,-2,-2,-2,45,10,-11,25
2,1,-10,-3,-2,-2,48,2,-11,25
1,1,-10,-2,-3,-2,14,14,-10,19
1,2,-10,-2,-3,-2,211,22,-10,20
1,3,-11,-2,-2,-3,314,2,-11,25
1,3,-10,-2,-2,-2,30,2,-11,25
2,1,-11,-2,-3,-3,33,8,-11,25
3,1,-10,-2,-3,-3,72,3,-11,25
2,1,-11,-2,-2,-2,22,8,-11,25
2,3,-11,-2,-2,-1,125,10,-11,25
2,2,-11,-2,-2,-3,23,19,-10,14
3,3,-11,-1,-2,-1,54,15,-11,25
1,3,-10,-2,-2,-2,17,1,-11,25
1,2,-10,-2,-2,-1,176,1,-11,25
3,2,-10,-2,-2,-2,200,125,-10,6
3,1,-10,-2,-2,-2,32,32,-10,3
2,1,-11,-1,-2,-2,80,80,-10,2
1,1,-11,-2,-2,-2,135,8,-10,23
1,2,-10,-2,-2,-3,14,9,-10,13
3,1,-10,-2,-3,-2,16,6,-10,19
1,1,-10,-2,-2,-1,1,1,-10,10
1,2,-10,-2,-2,-2,142,142,-10,24
2,1,-11,-3,-1,-2,53,0,-11,25
1,3,-11,-2,-2,-1,68,10,-11,25
2,3,-11,-3,-2,-2,14,14,-11,25
2,3,-10,-2,-2,-2,10,9,-11,25
3,1,-10,-2,-2,-1,85,7,-11,25
2,1,-11,-2,-2,-1,27,16,-10,2
1,3,-11,-2,-2,-2,218,2,-11,25
1,1,-10,-2,-2,-2,101,5,-11,25
3,1,-11,-2,-2,-2,47,5,-11,25
2,3,-11,-2,-1,-2,192,4,-11,25
1,1,-10,-2,-2,-2,330,3,-11,25
1,1,-11,-3,-2,-2,82,0,-11,25
3,3,-11,-2,-3,-1,48,4,-11,25
1,1,-10,-2,-2,-1,28,7,-11,25
3,1,-11,-2,-3,-2,23,3,-10,12
1,1,-11,-2,-2,-3,23,0,-11,25
3,3,-10,-2,-2,-2,57,10,-11,25
1,3,-11,-2,-2,-2,22,4,-11,25
1,3,-10,-2,-2,-1,57,9,-11,25
1,1,-10,-3,-2,-2,90,90,-10,1
1,3,-10,-2,-2,-2,224,198,-10,7
1,1,-10,-2,-2,-2,26,23,-10,1
3,3,-10,-2,-2,-1,239,7,-11,25
2,3,-11,-2,-2,-2,296,22,-11,25
2,1,-11,-2,-2,-1,175,9,-11,25
1,2,-11,-1,-2,-1,35,20,-10,4
1,2,-11,-2,-2,-1,54,23,-10,4
1,3,-10,-2,-3,-2,59,11,-11,25
2,1,-11,-2,-2,-2,57,13,-11,25
1,2,-11,-3,-2,-2,11,11,-10,13
2,1,-11,-2,-2,-2,4,2,-10,11
2,3,-11,-3,-2,-1,31,13,-11,25
2,3,-10,-2,-2,-2,347,1,-11,25
1,3,-10,-2,-2,-1,6,3,-11,25
1,3,-11,-2,-2,-2,216,51,-10,7
2,1,-11,-2,-2,-1,182,3,-11,25
1,3,-10,-2,-2,-1,318,6,-11,25
1,3,-11,-2,-3,-2,300,8,-11,25
2,2,-10,-2,-2,-1,106,5,-11,25
1,1,-10,-2,-2,-2,164,1,-10,23
1,2,-11,-2,-2,-2,229,81,-10,4
2,2,-10,-2,-2,-2,6,6,-10,14
4,3,-11,-2,-2,-2,21,5,-11,25
2,2,-11,-2,-2,-2,16,8,-10,14
2,3,-10,-3,-2,-2,7,7,-11,25
1,1,-11,-3,-2,-1,17,9,-10,0
2,3,-11,-3,-2,-2,3,3,-11,25
2,2,-10,-2,-2,-2,3,2,-10,14
2,3,-11,-2,-2,-1,298,5,-11,25
2,2,-10,-2,-2,-3,9,9,-10,14
2,1,-10,-2,-2,-2,27,8,-11,25
1,3,-11,-2,-2,-3,21,5,-11,25
1,3,-10,-2,-2,-1,15,6,-11,25
1,2,-10,-2,-2,-1,51,5,-11,25
1,1,-10,-2,-2,-2,103,39,-10,1
1,3,-11,-3,-2,-3,46,6,-11,25
2,1,-10,-3,-2,-1,38,3,-10,0
3,2,-10,-3,-3,-2,120,11,-10,22
2,1,-11,-2,-2,-3,33,10,-11,25
1,1,-11,-2,-3,-2,293,17,-10,1
3,2,-11,-2,-2,-1,284,23,-11,25
3,2,-10,-2,-2,-2,25,5,-11,25
2,3,-10,-3,-2,-2,11,11,-11,25
1,1,-11,-1,-2,-3,223,223,-10,1
1,3,-10,-2,-2,-3,178,21,-10,7
1,2,-11,-2,-2,-2,346,4,-11,25
4,1,-11,-2,-2,-1,357,3,-11,25
4,3,-10,-2,-3,-1,317,6,-10,17
1,3,-10,-3,-2,-2,3,3,-11,25
2,2,-11,-2,-1,-1,217,5,-11,25
2,2,-11,-2,-2,-2,140,0,-11,25
2,3,-10,-3,-3,-2,205,23,-11,25
2,2,-10,-2,-2,-2,4,4,-10,14
1,1,-10,-3,-3,-2,29,16,-10,21
3,3,-11,-2,-2,-2,9,1,-11,25
3,3,-10,-2,-2,-2,359,5,-11,25
2,3,-11,-2,-2,-2,8,3,-11,25
1,3,-11,-2,-2,-2,3,3,-11,25
2,3,-11,-3,-2,-2,317,1,-11,25
3,2,-10,-2,-3,-2,29,13,-10,20
2,2,-10,-2,-2,-2,88,88,-10,5
1,3,-10,-2,-2,-2,219,8,-11,25
1,3,-11,-2,-2,-2,9,9,-11,25
3,3,-11,-3,-2,-1,258,22,-11,25
1,1,-11,-2,-2,-2,180,40,-10,1
3,3,-10,-2,-1,-2,57,6,-11,25
1,2,-11,-2,-2,-2,21,4,-10,13
1,3,-11,-1,-2,-2,48,11,-11,25
1,1,-11,-2,-2,-2,36,0,-11,25
1,1,-11,-3,-2,-2,58,10,-11,25
4,1,-10,-2,-2,-1,183,5,-11,25
3,2,-11,-2,-2,-2,120,5,-11,25
1,1,-10,-2,-1,-1,184,18,-10,1
2,2,-11,-2,-2,-3,55,10,-11,25
2,3,-10,-2,-3,-2,191,7,-11,25
2,3,-11,-2,-2,-1,71,71,-10,8
3,3,-11,-2,-3,-2,53,5,-11,25
2,1,-11,-3,-1,-2,18,7,-11,25
1,2,-11,-2,-2,-1,14,13,-10,13
1,2,-11,-2,-2,-2,37,2,-11,25
2,3,-11,-2,-3,-2,54,54,-10,8
1,2,-11,-2,-1,-2,5,5,-10,13
2,2,-11,-3,-3,-2,132,132,-10,5
2,2,-10,-2,-2,-2,56,9,-11,25
4,2,-11,-2,-3,-3,53,7,-11,25
1,3,-11,-2,-2,-2,20,15,-11,25
3,3,-10,-2,-2,-2,21,21,-11,25
2,1,-11,-2,-1,-2,33,21,-10,2
3,3,-11,-2,-2,-1,189,189,-10,9
2,1,-10,-2,-2,-2,12,3,-11,25
3,2,-10,-2,-2,-1,46,2,-11,25
2,2,-10,-2,-2,-2,241,20,-10,5
3,1,-11,-2,-2,-2,323,9,-11,25
3,3,-11,-3,-2,-2,33,4,-11,25
2,2,-10,-2,-2,-2,55,18,-11,25
1,1,-11,-2,-2,-2,32,8,-11,25
4,1,-11,-2,-2,-2,30,5,-11,25
2,1,-10,-2,-2,-2,38,1,-11,25
1,1,-10,-2,-2,-2,350,21,-10,1
1,1,-10,-2,-3,-2,346,178,-10,19
1,2,-11,-2,-3,-2,4,4,-10,13
2,1,-10,-3,-2,-2,0,0,-10,11
2,3,-10,-2,-2,-2,195,2,-11,25
3,1,-10,-2,-2,-3,30,10,-11,25
3,1,-10,-2,-1,-2,126,2,-11,25
1,3,-10,-2,-2,-2,59,59,-10,7
2,3,-10,-2,-2,-2,262,20,-11,25
3,2,-10,-2,-3,-1,342,0,-10,17
2,1,-11,-2,-3,-3,203,5,-11,25
2,2,-10,-2,-2,-2,48,48,-10,5
1,2,-11,-3,-2,-2,59,2,-11,25
2,1,-11,-2,-3,-1,10,1,-10,11
1,2,-10,-2,-2,-1,20,2,-10,13
2,1,-11,-3,-1,-2,351,222,-10,2
2,1,-11,-3,-2,-2,29,6,-11,25
2,1,-11,-2,-2,-2,36,0,-11,25
2,2,-11,-2,-2,-1,80,3,-11,25
1,3,-11,-2,-2,-1,219,91,-10,7
1,2,-10,-2,-2,-2,17,11,-10,13
1,1,-11,-2,-2,-1,289,0,-11,25
1,1,-10,-2,-3,-2,21,4,-10,19
1,1,-11,-2,-3,-2,200,200,-10,1
2,1,-10,-2,-2,-2,171,17,-10,23
2,1,-11,-2,-3,-1,52,17,-10,2
2,3,-11,-3,-2,-3,17,0,-11,25
3,3,-11,-2,-2,-2,35,5,-11,25
1,1,-11,-3,-3,-2,32,19,-10,1
2,2,-11,-2,-2,-2,41,10,-11,25
1,3,-10,-2,-2,-2,18,18,-11,25
1,1,-10,-2,-2,-2,106,106,-10,1
3,2,-11,-1,-2,-2,135,14,-11,25
1,3,-11,-3,-2,-2,35,6,-11,25
1,2,-10,-2,-2,-2,245,0,-11,25
2,1,-10,-2,-2,-2,44,30,-10,2
2,3,-10,-2,-2,-2,16,16,-11,25
2,1,-11,-2,-3,-1,31,31,-10,2
2,1,-11,-2,-2,-2,40,17,-10,2
1,2,-11,-2,-2,-1,356,10,-11,25
1,2,-11,-2,-2,-2,346,5,-11,25
3,2,-10,-2,-2,-2,162,152,-10,24
3,1,-10,-2,-3,-2,190,6,-10,19
1,1,-11,-3,-2,-1,15,5,-10,0
2,1,-10,-2,-2,-1,247,2,-11,25
2,1,-11,-2,-2,-2,242,7,-11,25
1,2,-10,-2,-2,-2,23,8,-10,13
2,3,-10,-2,-3,-2,136,3,-11,25
4,1,-11,-2,-2,-2,41,8,-11,25
1,2,-10,-3,-2,-2,20,4,-10,13
2,1,-11,-2,-2,-2,34,4,-11,25
4,1,-11,-3,-2,-2,333,179,-11,25
2,2,-10,-2,-2,-2,52,2,-11,25
2,3,-11,-1,-2,-2,23,7,-11,25
1,3,-11,-2,-2,-1,293,17,-11,25
1,2,-11,-2,-2,-2,164,2,-11,25
1,1,-10,-2,-2,-2,202,6,-11,25
3,2,-11,-2,-2,-2,63,19,-11,25
1,2,-11,-2,-2,-2,10,6,-10,13
1,3,-11,-2,-2,-2,318,2,-11,25
